CodDecolare;CodAterizare;TimpStart;Durata;AzimutInitial;AzimutFinal;Descriere
OTO;LHR;09:21:10;44;0;N 3 E;Boeing,153,6000
ORD;ARN;09:21:30;108;N 48 V;S 37 E;Boeing,238,8000
DEL;SYD;09:21:50;104;N 5 E;S 78 V;Comac,65,6000
HKG;SIN;09:22:10;89;S 82 V;N 12 E;Embraer,46,9000
OTO;PEK;09:22:30;131;0;S 14 V;Boeing,153,13000
ORD;LAX;09:22:50;5;N 31 E;S 74 V;Embraer,48,9000
IST;OTO;09:23:10;127;N 28 V;0;Boeing,192,6000
ARN;CPH;09:23:30;48;S 53 E;N 53 V;Embraer,72,8000
ZRH;HEL;09:23:50;55;N 85 E;S 1 V;Embraer,49,11000
AMS;OTO;09:24:10;124;S 7 V;0;Embraer,78,12000
ZRH;HND;09:24:30;14;S 15 V;N 54 E;Embraer,44,14000
HKG;DWC;09:24:50;137;S 44 E;N 39 V;Comac,61,11000
HEL;CDG;09:25:10;46;N 79 V;S 19 E;Embraer,59,6000
CLT;ORD;09:25:30;70;N 6 E;S 2 V;Airbus,176,12000
OTO;CAN;09:25:50;73;0;S 61 E;Boeing,116,14000
ORD;PEK;09:26:10;137;N 72 V;S 32 E;Boeing,235,5000
MUC;SIN;09:26:30;15;N 26 V;S 53 E;Airbus,106,13000
DFW;SYD;09:26:50;116;N 63 E;S 2 V;Airbus,120,13000
YYZ;ARN;09:27:10;119;S 6 E;N 12 V;Embraer,45,11000
HEL;OTO;09:27:30;97;S 38 E;0;Embraer,43,10000
HEL;KUL;09:27:50;57;N 43 V;S 62 E;Airbus,137,8000
CDG;ZRH;09:28:10;137;S 16 V;N 89 E;Comac,69,7000
SIN;AUH;09:28:30;33;S 55 E;N 12 V;Airbus,179,8000
MIA;PEK;09:28:50;123;S 17 E;N 35 V;Comac,46,12000
HND;ATL;09:29:10;1;N 7 E;S 21 V;Embraer,69,10000
OTO;BKK;09:29:30;4;0;S 38 V;Comac,70,10000
PVG;DOH;09:29:50;69;N 24 E;S 19 V;Boeing,140,5000
CDG;YYZ;09:30:00;80;S 83 E;N 36 V;Comac,74,9000
AUH;DWC;09:30:01;65;S 75 E;N 73 V;Boeing,121,11000
CGK;OTO;09:30:02;35;S 68 E;0;Comac,65,14000
OSL;CAN;09:30:03;83;S 5 V;N 57 E;Comac,70,7000
ARN;LAX;09:30:04;68;N 73 E;S 22 V;Boeing,170,13000
IST;LHR;09:30:05;37;N 5 V;S 15 E;Embraer,55,12000
OTO;SIN;09:30:06;122;0;N 36 V;Airbus,143,14000
FRA;OSL;09:30:07;26;N 22 E;S 3 V;Airbus,136,13000
GRU;OTO;09:30:08;150;N 20 V;0;Airbus,161,7000
OTO;DEN;09:30:09;121;0;S 19 E;Embraer,79,7000
HND;DWC;09:30:10;36;S 67 E;N 16 V;Airbus,170,8000
ZRH;OTO;09:33:20;72;S 73 E;0;Airbus,133,8000
HEL;CPH;09:34:10;89;S 86 E;N 12 V;Comac,62,6000
DXB;SYD;09:34:30;135;N 64 V;S 26 E;Airbus,117,9000
ARN;SYD;09:34:50;78;N 87 E;S 56 V;Embraer,60,7000
OTO;CGK;09:35:10;148;0;N 11 E;Comac,49,6000
HKG;ORD;09:35:30;47;N 90 V;S 87 E;Comac,51,9000
SIN;HND;09:35:50;88;N 27 V;S 84 E;Comac,43,6000
CPH;DOH;09:36:10;22;N 63 V;S 10 E;Comac,71,13000
AUH;OTO;09:36:30;116;N 26 E;0;Comac,49,10000
HKG;HND;09:36:50;148;N 18 E;S 68 V;Comac,58,10000
BKK;CPH;09:37:10;36;S 88 E;N 19 V;Airbus,140,12000
ORD;DEN;09:37:30;136;S 61 V;N 2 E;Airbus,104,12000
OTO;HND;09:37:50;76;0;N 80 V;Boeing,126,5000
CLT;SZX;09:38:10;8;S 75 E;N 13 V;Boeing,145,10000
ICN;OTO;09:38:30;67;S 22 E;0;Embraer,43,9000
MAD;DOH;09:38:50;69;S 81 E;N 82 V;Airbus,170,10000
SZX;CAN;09:39:10;27;S 86 E;N 30 V;Boeing,186,5000
DEL;DEN;09:39:30;53;S 88 V;N 75 E;Comac,45,13000
OTO;DEL;09:39:50;50;0;N 49 E;Airbus,160,11000
ICN;MUC;09:40:10;102;N 11 E;S 49 V;Comac,63,7000
GRU;IST;09:40:30;112;S 16 V;N 72 E;Boeing,219,11000
ORD;OTO;09:40:50;36;N 79 E;0;Comac,48,10000
CGK;CAN;09:41:10;34;N 36 V;S 77 E;Comac,62,9000
HKG;OTO;09:41:30;73;S 53 V;0;Embraer,46,6000
DEN;LAX;09:41:50;121;N 36 E;S 11 V;Embraer,41,7000
DWC;AUH;09:42:10;59;S 22 V;N 78 E;Embraer,49,10000
CAN;YYZ;09:42:30;2;N 42 V;S 62 E;Comac,63,11000
KUL;YYZ;09:42:50;94;S 35 V;N 36 E;Embraer,62,5000
KUL;OSL;09:43:10;75;S 51 E;N 62 V;Embraer,53,13000
MUC;LHR;09:43:30;94;N 19 V;S 78 E;Boeing,192,6000
OTO;AMS;09:43:50;102;0;S 49 V;Comac,47,9000
DWC;DEN;09:44:10;64;S 50 E;N 43 V;Airbus,123,10000
PVG;MUC;09:44:30;64;N 38 E;S 73 V;Comac,72,9000
MAD;DOH;09:44:50;98;S 63 E;N 72 V;Comac,50,12000
MAD;ARN;09:45:10;42;N 88 E;S 70 V;Comac,71,7000
ATL;KUL;09:45:30;98;S 15 E;N 51 V;Embraer,44,9000
DFW;LAX;09:45:50;49;N 88 E;S 47 V;Airbus,129,9000
OTO;MAD;09:46:10;133;0;S 29 V;Comac,55,12000
CDG;AUH;09:46:30;99;N 46 E;S 7 V;Airbus,110,7000
LHR;MUC;09:46:50;120;S 61 V;N 20 E;Embraer,79,10000
DXB;CDG;09:47:10;99;N 80 V;S 40 E;Comac,66,10000
OTO;AMS;09:47:30;36;0;N 60 V;Embraer,67,5000
JFK;CDG;09:47:50;10;N 61 V;S 31 E;Boeing,160,5000
ARN;CDG;09:48:10;81;S 4 E;N 77 V;Comac,74,14000
OTO;LHR;09:48:30;112;0;N 23 V;Embraer,46,7000
BKK;HEL;09:48:50;60;N 5 V;S 57 E;Embraer,48,5000
MIA;DEL;09:49:10;69;S 49 E;N 80 V;Boeing,209,11000
PEK;OTO;09:49:30;149;N 9 V;0;Comac,53,12000
LAX;CPH;09:49:50;11;N 60 E;S 85 V;Airbus,123,5000
DOH;SYD;09:50:10;137;N 50 V;S 62 E;Comac,40,8000
DFW;OTO;09:50:30;72;S 39 V;0;Embraer,61,7000
ORD;PVG;09:50:50;70;N 32 E;S 70 V;Boeing,198,8000
DFW;ZRH;09:51:10;113;S 38 V;N 79 E;Comac,70,7000
JFK;OTO;09:51:30;116;N 60 E;0;Airbus,148,7000
BKK;OSL;09:51:50;94;N 79 V;S 13 E;Airbus,119,12000
DXB;CAN;09:52:10;109;N 6 E;S 33 V;Boeing,230,7000
FRA;OTO;09:52:30;39;S 43 E;0;Embraer,69,14000
OSL;CLT;09:52:50;5;S 31 V;N 51 E;Comac,70,6000
OTO;LHR;09:53:10;146;0;N 34 V;Embraer,57,7000
OSL;MEX;09:53:30;138;N 13 E;S 18 V;Embraer,54,14000
CGK;HEL;09:53:50;19;S 5 V;N 46 E;Airbus,127,6000
CPH;OTO;09:54:10;66;N 75 V;0;Comac,57,11000
DEN;ORD;09:54:30;66;N 89 E;S 70 V;Comac,51,11000
OSL;DOH;09:54:50;13;S 68 V;N 2 E;Airbus,130,6000
OTO;YYZ;09:55:10;146;0;N 83 V;Airbus,103,5000
ZRH;IST;09:55:30;138;S 45 V;N 15 E;Embraer,47,14000
OTO;HND;09:55:50;12;0;N 16 E;Comac,62,7000
JFK;LHR;09:56:10;115;S 45 E;N 23 V;Embraer,73,11000
ARN;DXB;09:56:30;85;S 32 V;N 53 E;Embraer,64,14000
OTO;HKG;09:56:50;124;0;S 67 V;Comac,76,9000
PEK;OTO;09:57:10;122;S 46 E;0;Comac,63,11000
DEL;MEX;09:57:30;148;S 19 V;N 45 E;Embraer,42,14000
YYZ;DWC;09:57:50;58;N 19 E;S 81 V;Boeing,169,13000
ORD;OTO;09:58:10;124;N 81 E;0;Airbus,120,5000
ICN;CDG;09:58:30;66;N 77 E;S 68 V;Airbus,138,6000
MIA;OTO;09:58:50;88;N 43 E;0;Airbus,114,7000
MEX;CGK;09:59:10;31;N 50 V;S 57 E;Embraer,46,5000
DFW;CLT;09:59:30;25;S 41 V;N 37 E;Airbus,118,14000
AMS;CAN;09:59:50;125;S 10 E;N 2 V;Comac,64,13000
OTO;CPH;10:00:00;28;0;S 69 V;Boeing,196,11000
HND;ARN;10:00:01;147;N 26 V;S 68 E;Airbus,135,14000
HEL;PVG;10:00:02;110;S 64 V;N 17 E;Airbus,124,9000
OTO;ZRH;10:00:03;57;0;S 48 E;Boeing,237,5000
LAX;DXB;10:00:04;42;N 84 V;S 81 E;Airbus,163,9000
CAN;HND;10:00:05;143;N 90 E;S 12 V;Airbus,102,11000
FRA;OTO;10:00:20;82;N 81 E;0;Embraer,45,6000
CDG;AMS;10:00:30;96;N 42 V;S 87 E;Airbus,112,11000
YYZ;ORD;10:00:40;24;S 51 V;N 40 E;Comac,62,6000
AMS;OTO;10:00:50;103;N 88 E;0;Boeing,107,10000
HKG;CPH;10:01:00;36;S 70 E;N 67 V;Airbus,125,11000
OTO;ZRH;10:01:10;65;0;S 24 E;Comac,58,9000
SIN;DEL;10:04:10;126;N 87 V;S 26 E;Boeing,203,6000
OTO;KUL;10:04:30;121;0;S 19 E;Embraer,41,11000
LHR;PEK;10:04:50;87;N 67 E;S 9 V;Airbus,122,9000
YYZ;DFW;10:05:10;90;S 39 V;N 11 E;Airbus,107,6000
HKG;OTO;10:05:30;31;S 81 E;0;Comac,42,7000
PEK;OSL;10:05:50;60;S 4 E;N 77 V;Boeing,129,7000
LAX;SIN;10:06:10;28;S 19 V;N 1 E;Boeing,232,6000
CGK;OTO;10:06:30;108;N 73 E;0;Airbus,172,13000
OTO;IST;10:06:50;116;0;N 55 V;Boeing,194,10000
YYZ;SYD;10:07:10;34;S 54 V;N 85 E;Boeing,109,9000
ATL;LHR;10:07:30;135;S 52 E;N 61 V;Boeing,107,8000
SZX;OTO;10:07:50;61;N 89 V;0;Embraer,54,9000
MUC;LAX;10:08:10;40;S 3 V;N 65 E;Airbus,168,13000
AUH;HKG;10:08:30;42;S 66 V;N 4 E;Boeing,182,10000
PEK;OTO;10:08:50;13;N 38 V;0;Embraer,64,9000
MUC;DXB;10:09:10;69;N 46 E;S 82 V;Airbus,112,9000
AMS;SIN;10:09:30;21;S 40 V;N 72 E;Comac,66,8000
MAD;OTO;10:09:50;34;N 74 V;0;Comac,75,11000
IST;ORD;10:10:10;70;N 16 E;S 42 V;Airbus,171,11000
DOH;AUH;10:10:30;109;S 28 E;N 86 V;Embraer,77,13000
OTO;SZX;10:10:50;63;0;S 19 E;Embraer,76,6000
SYD;DXB;10:11:10;84;N 5 V;S 34 E;Boeing,171,9000
HND;SYD;10:11:30;95;N 9 E;S 35 V;Boeing,180,11000
FRA;JFK;10:11:50;6;S 15 V;N 69 E;Comac,45,8000
LAX;OTO;10:12:10;54;N 60 V;0;Airbus,129,8000
MEX;CDG;10:12:30;40;N 37 V;S 19 E;Embraer,50,9000
HKG;SZX;10:12:50;16;S 24 E;N 19 V;Boeing,102,8000
DEN;OTO;10:13:10;127;N 76 E;0;Airbus,114,13000
BKK;YYZ;10:13:30;114;S 35 E;N 67 V;Embraer,53,5000
SIN;CDG;10:13:50;3;N 6 V;S 45 E;Airbus,119,9000
ARN;KUL;10:14:10;55;N 2 E;S 59 V;Comac,45,8000
DWC;OTO;10:14:30;111;S 80 V;0;Embraer,51,12000
MIA;HEL;10:14:50;145;N 72 V;S 69 E;Comac,70,13000
LHR;OTO;10:15:10;142;S 65 E;0;Airbus,126,8000
LHR;JFK;10:15:30;95;S 7 E;N 50 V;Boeing,242,13000
AUH;OTO;10:15:50;3;S 54 V;0;Boeing,112,14000
IST;MEX;10:16:10;56;S 85 V;N 44 E;Boeing,172,10000
LHR;MAD;10:16:30;64;S 67 E;N 85 V;Embraer,54,13000
OTO;JFK;10:16:50;30;0;N 68 V;Comac,64,13000
DXB;DEN;10:17:10;99;N 53 E;S 25 V;Embraer,79,9000
ICN;SYD;10:17:30;53;S 42 E;N 16 V;Airbus,100,11000
OTO;CAN;10:17:50;61;0;S 37 V;Airbus,144,6000
KUL;MUC;10:18:10;113;N 79 V;S 50 E;Boeing,208,13000
ICN;CLT;10:18:30;8;S 75 V;N 75 E;Comac,48,5000
AMS;OTO;10:18:50;137;S 62 E;0;Boeing,241,11000
IST;DWC;10:19:10;111;S 27 E;N 64 V;Boeing,142,8000
AUH;ARN;10:19:30;128;S 58 E;N 83 V;Airbus,130,13000
SZX;OTO;10:19:50;109;S 39 E;0;Airbus,155,10000
MUC;MAD;10:20:10;107;N 71 E;S 6 V;Embraer,78,9000
CLT;YYZ;10:20:30;24;S 54 V;N 69 E;Boeing,175,13000
MEX;OTO;10:20:50;74;S 58 E;0;Airbus,154,8000
PVG;AMS;10:21:10;15;S 47 E;N 11 V;Boeing,183,14000
OSL;CPH;10:21:30;21;N 5 E;S 27 V;Boeing,122,5000
DFW;OTO;10:21:50;83;S 43 V;0;Boeing,130,9000
HND;BKK;10:22:10;40;N 90 E;S 47 V;Airbus,141,6000
MUC;DWC;10:22:30;51;S 12 E;N 25 V;Boeing,120,9000
LAX;OTO;10:22:50;117;S 60 E;0;Boeing,177,11000
SZX;YYZ;10:23:10;120;S 29 E;N 38 V;Boeing,168,6000
CAN;DXB;10:23:30;127;N 40 E;S 65 V;Airbus,136,11000
IST;MAD;10:23:50;83;N 6 E;S 40 V;Airbus,155,7000
OTO;AUH;10:24:10;5;0;N 83 E;Boeing,160,14000
CGK;ORD;10:24:30;42;S 1 E;N 10 V;Boeing,100,7000
CPH;DEL;10:24:50;100;N 36 V;S 13 E;Embraer,61,6000
DEN;ARN;10:25:10;44;S 39 V;N 18 E;Boeing,189,5000
JFK;DXB;10:25:30;97;N 6 V;S 75 E;Comac,56,7000
OTO;CAN;10:25:50;57;0;S 7 E;Embraer,48,10000
CGK;IST;10:26:10;78;N 29 V;S 47 E;Airbus,157,14000
OTO;OSL;10:26:30;142;0;S 87 V;Embraer,51,10000
SZX;CDG;10:26:50;88;N 43 E;S 57 V;Comac,57,8000
PEK;CDG;10:27:10;97;S 59 E;N 38 V;Embraer,75,9000
OTO;MIA;10:27:30;87;0;S 66 V;Boeing,236,11000
LAX;CDG;10:27:50;103;S 71 E;N 60 V;Comac,49,14000
MAD;OTO;10:28:10;105;S 68 V;0;Airbus,159,9000
DOH;BKK;10:28:30;17;N 21 V;S 75 E;Comac,60,14000
CLT;MAD;10:28:50;106;N 3 E;S 65 V;Boeing,210,12000
OTO;JFK;10:29:10;24;0;S 19 E;Embraer,44,5000
AMS;YYZ;10:29:30;122;S 86 V;N 9 E;Airbus,104,12000
MUC;GRU;10:29:50;61;N 32 V;S 24 E;Boeing,206,8000
HKG;OTO;10:30:10;67;S 77 E;0;Boeing,163,12000
DWC;MIA;10:30:30;123;N 56 V;S 48 E;Comac,56,7000
ICN;HEL;10:30:50;101;S 13 V;N 80 E;Airbus,167,5000
SZX;OTO;10:31:10;128;N 14 V;0;Airbus,142,6000
HKG;OTO;10:31:30;61;S 85 V;0;Comac,77,6000
MAD;LHR;10:31:50;56;N 66 V;S 59 E;Boeing,173,10000
ICN;FRA;10:32:10;9;S 13 E;N 84 V;Boeing,190,13000
OTO;HND;10:32:30;21;0;N 79 E;Embraer,52,12000
ORD;KUL;10:32:50;59;S 23 E;N 21 V;Embraer,61,6000
ARN;CPH;10:33:10;116;S 9 V;N 14 E;Boeing,108,14000
OTO;HND;10:33:30;147;0;S 20 E;Comac,44,12000
KUL;ICN;10:33:50;88;N 51 E;S 41 V;Airbus,146,14000
OTO;AMS;10:34:10;100;0;S 68 V;Airbus,144,5000
HKG;KUL;10:34:30;32;S 62 E;N 85 V;Embraer,52,8000
LHR;OTO;10:34:50;136;N 53 E;0;Embraer,74,8000
CPH;OTO;10:35:10;147;S 11 E;0;Airbus,156,14000
CDG;LHR;10:35:30;88;S 28 V;N 54 E;Comac,78,11000
OTO;IST;10:35:50;147;0;N 52 E;Airbus,167,13000
IST;MAD;10:36:10;25;N 47 V;S 82 E;Boeing,211,12000
MIA;AMS;10:36:30;5;S 7 E;N 52 V;Comac,71,9000
CPH;OTO;10:36:50;98;N 80 V;0;Comac,40,9000
PVG;LAX;10:37:10;14;S 60 V;N 79 E;Boeing,127,10000
DEL;ARN;10:37:30;29;N 77 E;S 22 V;Embraer,76,8000
MEX;OTO;10:37:50;9;N 44 V;0;Comac,56,9000
DEL;OTO;10:38:10;143;S 3 E;0;Embraer,79,10000
SZX;MAD;10:38:30;47;N 24 V;S 58 E;Comac,64,13000
CAN;JFK;10:38:50;79;S 83 E;N 51 V;Airbus,165,13000
DEN;OTO;10:39:10;148;S 88 E;0;Embraer,69,12000
BKK;AUH;10:39:30;87;S 86 E;N 62 V;Boeing,138,12000
DXB;ICN;10:39:50;28;N 46 E;S 35 V;Boeing,247,10000
OTO;ATL;10:40:10;63;0;N 6 E;Airbus,178,6000
CLT;DEN;10:40:30;133;N 43 E;S 35 V;Airbus,160,8000
PVG;OTO;10:40:50;113;N 22 V;0;Airbus,121,11000
OTO;DEN;10:41:10;50;0;S 5 V;Embraer,62,10000
LHR;HND;10:41:30;130;S 14 E;N 85 V;Embraer,49,10000
PEK;MIA;10:41:50;36;S 22 E;N 40 V;Boeing,210,10000
OTO;AMS;10:42:10;6;0;S 5 V;Comac,66,11000
HEL;PVG;10:42:30;132;N 87 V;S 90 E;Embraer,67,12000
FRA;HEL;10:42:50;76;S 22 E;N 36 V;Airbus,129,5000
DEL;OTO;10:43:10;42;S 89 E;0;Comac,45,12000
ZRH;HEL;10:43:30;66;S 50 V;N 10 E;Boeing,223,6000
ZRH;JFK;10:43:50;71;N 51 E;S 43 V;Airbus,152,11000
OTO;MAD;10:44:10;2;0;S 39 E;Embraer,42,9000
GRU;DOH;10:44:30;89;S 19 E;N 33 V;Boeing,249,13000
BKK;OTO;10:44:50;89;N 70 V;0;Boeing,215,5000
SZX;JFK;10:45:10;115;N 67 V;S 32 E;Airbus,125,9000
OTO;HKG;10:45:30;19;0;N 65 E;Comac,63,7000
ICN;BKK;10:45:50;47;N 36 V;S 24 E;Boeing,147,5000
ORD;BKK;10:46:10;26;S 62 E;N 55 V;Embraer,79,5000
DWC;OTO;10:46:30;2;N 87 V;0;Comac,55,8000
PEK;CGK;10:46:50;31;S 3 V;N 26 E;Airbus,105,5000
DEL;OSL;10:47:10;36;S 72 V;N 49 E;Airbus,114,9000
DOH;OSL;10:47:30;147;N 83 V;S 24 E;Boeing,148,11000
SIN;OTO;10:47:50;64;N 76 E;0;Comac,55,12000
HND;YYZ;10:48:10;39;S 90 E;N 36 V;Airbus,168,14000
CAN;DWC;10:48:30;6;N 67 E;S 49 V;Comac,42,5000
CDG;DWC;10:48:50;73;S 11 V;N 85 E;Comac,49,11000
YYZ;OTO;10:49:10;16;N 84 E;0;Airbus,102,10000
DXB;SZX;10:49:30;103;S 62 V;N 24 E;Comac,61,10000
ZRH;CPH;10:49:50;132;N 80 V;S 66 E;Embraer,77,11000
YYZ;OTO;10:50:10;49;S 14 V;0;Embraer,58,7000
HND;CLT;10:50:30;129;N 84 E;S 88 V;Embraer,69,12000
AMS;MAD;10:50:50;113;S 15 E;N 86 V;Airbus,155,7000
LAX;PVG;10:51:10;145;N 67 V;S 39 E;Airbus,132,9000
OTO;MEX;10:51:30;106;0;N 52 V;Embraer,76,10000
OTO;DOH;10:51:50;61;0;N 53 V;Boeing,109,8000
YYZ;SZX;10:52:10;40;S 44 E;N 36 V;Boeing,205,5000
ARN;OTO;10:52:30;109;S 55 E;0;Airbus,174,12000
MIA;OTO;10:52:50;143;S 12 E;0;Airbus,146,5000
ORD;DFW;10:53:10;4;N 78 E;S 21 V;Embraer,66,14000
MAD;SIN;10:53:30;3;S 6 E;N 76 V;Comac,57,8000
OTO;LHR;10:53:50;66;0;S 51 E;Boeing,125,13000
SZX;DOH;10:54:10;54;N 51 V;S 71 E;Boeing,193,13000
KUL;OTO;10:54:30;79;S 28 E;0;Airbus,166,9000
OSL;DXB;10:54:50;18;S 12 V;N 86 E;Embraer,58,12000
ZRH;CAN;10:55:10;103;S 67 E;N 88 V;Comac,60,10000
ZRH;OTO;10:55:30;50;N 45 V;0;Airbus,126,8000
OSL;HEL;10:55:50;115;N 44 E;S 41 V;Airbus,120,11000
DFW;YYZ;10:56:10;69;N 46 E;S 30 V;Boeing,199,13000
OTO;ORD;10:56:30;90;0;N 79 V;Comac,75,8000
OTO;HND;10:56:50;106;0;N 3 V;Embraer,42,10000
MAD;FRA;10:57:10;17;S 3 V;N 31 E;Boeing,157,14000
PEK;OTO;10:57:30;61;N 45 V;0;Embraer,75,10000
OTO;MEX;10:57:50;10;0;S 54 E;Comac,50,8000
HKG;FRA;10:58:10;55;N 63 E;S 5 V;Airbus,147,12000
CAN;HKG;10:58:30;49;N 43 E;S 89 V;Comac,69,6000
DOH;CAN;10:58:50;105;N 88 E;S 29 V;Comac,51,7000
MUC;OTO;10:59:10;19;S 79 V;0;Boeing,112,11000
CLT;AUH;10:59:30;110;N 42 E;S 19 V;Comac,74,5000
OTO;SZX;10:59:50;116;0;N 22 E;Airbus,100,14000
DEN;KUL;11:00:10;119;N 20 V;S 50 E;Boeing,150,9000
HND;OTO;11:00:11;53;N 52 E;0;Comac,71,10000
SZX;DEN;11:00:12;36;N 74 V;S 56 E;Comac,71,14000
MAD;ORD;11:00:13;111;S 65 E;N 79 V;Boeing,209,9000
SYD;OTO;11:00:14;111;S 61 V;0;Boeing,247,13000
KUL;IST;11:00:15;93;S 1 E;N 18 V;Boeing,141,6000
OTO;CAN;11:00:16;138;0;S 28 E;Comac,57,14000
PEK;DWC;11:00:17;146;N 73 E;S 16 V;Embraer,79,8000
HEL;GRU;11:00:18;47;S 11 E;N 58 V;Boeing,230,5000
OTO;AUH;11:00:19;52;0;N 34 V;Comac,68,13000
SZX;DEL;11:00:20;5;N 60 E;S 63 V;Comac,58,13000
OTO;ZRH;11:03:21;25;0;N 86 V;Airbus,166,6000
DXB;MAD;11:04:10;45;S 43 E;N 84 V;Comac,60,7000
ARN;OTO;11:04:30;147;S 10 E;0;Embraer,44,5000
JFK;HND;11:04:50;15;N 28 E;S 39 V;Comac,43,7000
OTO;DEL;11:05:10;14;0;S 58 E;Airbus,176,10000
KUL;CAN;11:05:30;19;N 80 E;S 5 V;Embraer,41,6000
SIN;OTO;11:05:50;116;N 58 E;0;Embraer,48,11000
JFK;SIN;11:06:10;118;S 46 V;N 71 E;Airbus,177,5000
